source	attribute_name	cluster_id	predicate_name	top1	top2	top3
www.ilgs.net	auto focus af assist beam	6	auto_focus_beam	('Yes', 26)	('No', 1)	('Auto / Off', 1)
www.ebay.com	autofocus assist lamp	6	auto_focus_beam	('Yes', 5)		
www.camerafarm.com.au	af assist beam	6	auto_focus_beam	('Yes', 5)	('Intermittent firing of built-in flash or emitted by optional dedicated Speedlite', 4)	
www.ebay.com	af assist lamp	6	auto_focus_beam	('Yes', 7)	('Yes (On/Off)', 2)	
www.cambuy.com.au	af assist beam	6	auto_focus_beam	('Yes', 18)	('Intermittent firing of built-in flash or emitted by optional dedicated Speedlite', 5)	
www.camerafarm.com.au	afassist lamp	6	auto_focus_beam	('Yes', 4)		
www.canon-europe.com	af assist beam	6	auto_focus_beam	('Yes', 105)	('Yes (on/off)', 1)	
www.ebay.com	auto focus assist light	6	auto_focus_beam	('Yes', 4)		
www.cambuy.com.au	af assist lamp	6	auto_focus_beam	('YES', 10)	('Yes (On / Off)', 2)	('Yes (On/Off)', 1)
www.shopmania.in	af illuminator	6	auto_focus_beam	('Yes', 370)		
www.cambuy.com.au	af modes	6	auto_focus_mode	('Single, Continuous (Auto mode only), Servo AF/AE, Tracking AF¹', 7)	('Single, Continuous, Servo AF/AE¹, Tracking AF,', 5)	('AI FocusOne ShotAI Servo', 3)
www.shopmania.in	autofocus	6	auto_focus_mode	('Continuous\n/ Contrast Detect\n/ Face Detection\n/ Live View\n/ Multi-area\n/ Phase Detect\n/ Selective Single-point\n/ Single', 50)	('Contrast Detect\n/ Live View\n/ Single', 48)	('Center\n/ Continuous\n/ Contrast Detect\n/ Face Detection\n/ Multi-area\n/ Single\n/ Tracking', 26)
www.cambuy.com.au	autofocus af	6	auto_focus_mode	('Contrast-detect AF', 24)		
www.pricedekho.com	auto focus	6	auto_focus_mode	('Contrast Detection AF', 53)	('Yes', 39)	('TTL Auto Focus', 11)
www.cambuy.com.au	autofocus	6	auto_focus_mode	('Nikon Multi-CAM 4800 autofocus sensor module with TTL phase detection, fine-tuning, and 39 focus points (including 9 cross-type sensors; the center 33 points are available at apertures slower than f/5.6 and faster than f/8, while the center 7 focus points are available at f/8)', 4)	('Nikon Multi-CAM 1000 autofocus sensor module with TTL phase detection, 11 focus points (including one cross-type sensor), and AF-assist illuminator (range approx. 0.5-3 m/1 ft 8 in.-9 ft 10 in.). Contrast-detect AF anywhere in frame (camera selects focus point automatically when face-priority AF or subject-tracking AF is selected)', 4)	('Contrast-detect AF anywhere in frame (camera selects focus point automatically when face-priority AF or subject-tracking AF is selected). Nikon Multi-CAM 4800DX autofocus sensor module with TTL phase detection, 39 focus points (including 9 cross-type sensor), and AF-assist illuminator (range approx. 0.5-3 m/1 ft 8 in.-9 ft 10 in.)', 3)
www.price-hunt.com	focusing sysetm	6	auto_focus_mode	('Servo af, Continuous af, Manual', 1)	('Fast Hybrid af (Phase-Detection af / Contrast-Detection af)', 1)	('1-Point af (Fixed to Centre), Aiaf (Face Detection / 9-Point)', 1)
